need	0.010695
server.	0.001337
said	0.002674
store	0.001337
cnnot	0.001337
more.	0.004011
etc	0.001337
client/	0.001337
daway!	0.001337
project?	0.001337
time	0.002674
communicate	0.001337
proof)	0.001337
drink	0.001337
daway,	0.002674
right	0.002674
else	0.001337
asked	0.001337
going	0.004011
!	0.002674
yes.	0.001337
how	0.016043
ny?	0.001337
number	0.001337
he	0.002674
always	0.001337
sleep	0.001337
mom	0.001337
,	0.004011
-	0.001337
peru?	0.001337
7	0.001337
6	0.001337
discuss	0.001337
eat	0.001337
?	0.002674
big	0.002674
mysql	0.002674
go	0.004011
computer	0.001337
dodo,	0.004011
7:30pm	0.001337
graphic	0.001337
reu	0.006684
give	0.002674
before	0.001337
next	0.001337
data	0.001337
anything?	0.001337
use	0.004011
debug	0.001337
aid	0.002674
run	0.001337
messages	0.001337
tomorrow,	0.001337
acct	0.001337
life	0.001337
side	0.001337
graduate	0.001337
env.	0.001337
write	0.009358
best	0.002674
conversation	0.001337
left	0.001337
do	0.005348
tell	0.010695
publish	0.001337
situation.	0.001337
hard	0.001337
refrig	0.001337
emails!	0.001337
documents	0.002674
taiwan	0.002674
a	0.004011
ur	0.001337
come	0.001337
back	0.001337
us	0.001337
learning	0.001337
k	0.004011
weeks	0.001337
w2	0.001337
i	0.024064
up	0.001337
yes	0.001337
w	0.002674
u	0.005348
what	0.004011
r	0.005348
doesn't	0.001337
configuration	0.001337
tv?	0.001337
picky	0.001337
research.	0.001337
ok?	0.001337
dodo?	0.001337
wth	0.001337
progress	0.002674
to	0.042781
nba?	0.001337
both	0.001337
stop,	0.001337
good	0.006684
long	0.001337
same	0.001337
has	0.002674
everything?	0.001337
who	0.001337
proj?	0.001337
after	0.004011
u?	0.004011
medical	0.001337
ntu	0.001337
basic	0.001337
priority	0.001337
ann	0.001337
stuffs?	0.001337
timing	0.002674
to.	0.001337
had	0.002674
be	0.005348
financial	0.002674
think	0.001337
creat	0.001337
hard.	0.001337
so	0.002674
watch	0.001337
likely	0.002674
effort	0.001337
display	0.001337
me?	0.001337
work?	0.001337
and	0.013369
mother!	0.001337
that	0.004011
finish	0.002674
done,	0.001337
email	0.001337
better	0.001337
documents?	0.001337
than	0.001337
website.	0.001337
doing	0.002674
case	0.001337
internet	0.001337
got	0.001337
make	0.009358
thing	0.001337
car	0.001337
same.	0.001337
can	0.017380
about	0.005348
setting	0.001337
reach	0.001337
yonchun	0.004011
name	0.001337
trip	0.001337
all	0.002674
too	0.004011
efforts?	0.001337
at	0.002674
as	0.002674
you	0.044118
routine.	0.001337
dodo	0.006684
basic.	0.002674
telnet	0.001337
topics	0.001337
entire	0.001337
anything	0.004011
see	0.001337
nba	0.001337
am	0.002674
take	0.002674
an	0.001337
there	0.001337
there.	0.001337
spurs	0.001337
details).om	0.001337
server	0.002674
forget	0.001337
out	0.001337
very	0.004011
they	0.001337
lab,	0.001337
water.	0.001337
reason	0.001337
for	0.004011
no	0.005348
everything	0.001337
prof,	0.001337
bring	0.001337
house	0.001337
prof/	0.001337
prof.	0.001337
student?	0.001337
(w	0.001337
of	0.005348
help	0.004011
are	0.018717
correct	0.001337
page	0.001337
watching	0.001337
easy.	0.001337
internship	0.001337
gmail	0.001337
on	0.005348
only	0.001337
focus	0.001337
her	0.001337
ok	0.002674
everyone	0.002674
working	0.002674
move	0.004011
learning?	0.001337
help?	0.002674
or	0.008021
done	0.002674
did	0.002674
many	0.001337
not	0.004011
tax	0.001337
now	0.001337
will	0.002674
say	0.001337
years	0.001337
ask	0.002674
some	0.004011
learn.	0.001337
home	0.001337
google	0.001337
tomorrow	0.001337
now?	0.001337
line	0.001337
click	0.001337
most	0.001337
pictures	0.002674
car,	0.001337
interested?	0.001337
short	0.002674
prof	0.001337
night.	0.001337
bike	0.001337
proj	0.001337
upset	0.001337
command	0.001337
closed	0.001337
me	0.020053
want	0.004011
auch	0.001337
just	0.001337
stay	0.001337
question,	0.001337
don't	0.005348
it's	0.002674
should	0.004011
my	0.001337
arrange	0.001337
now.	0.001337
teaching	0.001337
question?	0.001337
but	0.001337
phone	0.001337
send	0.001337
count	0.001337
being	0.001337
iphone.	0.001337
answers	0.001337
proof),	0.001337
show	0.002674
good.	0.001337
reunion:	0.001337
love	0.004011
please	0.001337
more	0.009358
when	0.001337
proceed	0.001337
sure	0.004011
work	0.001337
please.	0.001337
lots	0.001337
easier	0.001337
bed	0.001337
team	0.001337
emails	0.001337
home?	0.001337
colleagues,	0.001337
healthy.	0.001337
updates,	0.001337
kidding	0.001337
statement	0.001337
chou	0.004011
research?	0.001337
reu?	0.001337
arrangement	0.001337
1040	0.001337
trunk	0.001337
stuff	0.001337
food	0.001337
relatives	0.001337
this	0.004011
treat	0.001337
polish	0.001337
other	0.001337
write.	0.001337
have	0.004011
one	0.001337
dorm....	0.001337
add	0.001337
7pm,	0.001337
ui.	0.001337
mailbox	0.001337
real	0.001337
daway	0.001337
details	0.002674
page,	0.001337
parts?	0.001337
if	0.004011
able	0.001337
you?	0.002674
making	0.001337
lining	0.001337
office	0.001337
(need	0.002674
is	0.020053
with	0.004011
university	0.001337
those	0.001337
it	0.006684
check	0.001337
website	0.001337
important	0.002674
details.	0.001337
your	0.029412
mentor?	0.001337
problem	0.001337
huawei	0.001337
lot?	0.001337
the	0.028075
k.	0.008021
daily	0.001337
in	0.005348
know	0.004011
print	0.001337
wednesday	0.001337
continue	0.002674
you.	0.004011
night	0.001337
you,	0.001337
things	0.001337
their	0.001337
first	0.001337
miss	0.001337
estate	0.001337
